"DateTime","Préstamos y créditos (TAE)","Depósitos (TEDR)"
"2021-12",1.67,0.03
"2022-01",2.14,0.01
"2022-02",1.75,0.02
"2022-03",1.77,0.02
"2022-04",1.96,0.02
"2022-05",1.94,0.02
"2022-06",2.08,0.03
"2022-07",2.37,0.03
"2022-08",2.28,0.03
"2022-09",2.88,0.06
"2022-10",3.63,0.07
"2022-11",3.65,0.11
"2022-12",3.86,0.13
"2023-01",4.44,0.15
"2023-02",4.53,0.2
"2023-03",4.61,0.27
"2023-04",5.08,0.31
"2023-05",4.99,0.35
"2023-06",5.08,0.43
"2023-07",5.48,0.47
"2023-08",5.44,0.49
"2023-09",5.4,0.53
"2023-10",5.74,0.59
"2023-11",5.43,0.63
"2023-12",5.37,0.67
"2024-01",5.57,0.68
"2024-02",5.25,0.67
