Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M02;96,320
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2019M01;96,085
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M12;97,329
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M11;97,768
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M10;97,875
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M09;96,978
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M08;96,742
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M07;96,604
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M06;97,302
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M05;97,048
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M04;96,181
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M03;95,393
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M02;95,281
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2018M01;95,153
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M12;96,190
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M11;96,147
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M10;95,710
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M09;94,835
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M08;94,670
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M07;94,482
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M06;95,138
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M05;95,097
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M04;95,154
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M03;94,249
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M02;94,269
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2017M01;94,609
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M12;95,132
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M11;94,572
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M10;94,230
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M09;93,165
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M08;93,161
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M07;93,041
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M06;93,723
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M05;93,292
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M04;92,785
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M03;92,139
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M02;91,552
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2016M01;91,876
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M12;93,663
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M11;93,937
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M10;93,595
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M09;92,999
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M08;93,286
Tipo de dato;Índice;Total Nacional;Total Nacional;Grupos ECOICOP;Índice general;2015M07;93,597
