Materiales;Periodo;Total
Productos plásticos;2019M02;105,395
Productos plásticos;2019M01;105,449
Productos plásticos;2018M12;105,103
Productos plásticos;2018M11;105,128
Productos plásticos;2018M10;105,257
Productos plásticos;2018M09;105,223
Productos plásticos;2018M08;105,231
Productos plásticos;2018M07;105,206
Productos plásticos;2018M06;105,035
Productos plásticos;2018M05;105,124
Productos plásticos;2018M04;104,709
Productos plásticos;2018M03;104,886
Productos plásticos;2018M02;104,833
Productos plásticos;2018M01;104,574
Productos plásticos;2017M12;104,178
Productos plásticos;2017M11;104,069
Productos plásticos;2017M10;104,166
Productos plásticos;2017M09;103,932
Productos plásticos;2017M08;104,01
Productos plásticos;2017M07;104,336
Productos plásticos;2017M06;104,017
Productos plásticos;2017M05;104,069
Productos plásticos;2017M04;103,997
Productos plásticos;2017M03;104,123
Productos plásticos;2017M02;103,627
Productos plásticos;2017M01;103,37
Productos plásticos;2016M12;103,287
Productos plásticos;2016M11;103,251
Productos plásticos;2016M10;103,309
Productos plásticos;2016M09;103,198
Productos plásticos;2016M08;103,476
Productos plásticos;2016M07;103,653
Productos plásticos;2016M06;103,667
Productos plásticos;2016M05;103,546
Productos plásticos;2016M04;103,403
Productos plásticos;2016M03;103,36
Productos plásticos;2016M02;103,566
Productos plásticos;2016M01;103,64
Productos plásticos;2015M12;103,651
Productos plásticos;2015M11;103,732
Productos plásticos;2015M10;103,677
Productos plásticos;2015M09;104,24
Productos plásticos;2015M08;104,311
Productos plásticos;2015M07;104,239
Productos plásticos;2015M06;103,825
Productos plásticos;2015M05;103,282
Productos plásticos;2015M04;102,563
Productos plásticos;2015M03;102,041
Productos plásticos;2015M02;101,941
Productos plásticos;2015M01;102,201
Productos plásticos;2014M12;102,925
Productos plásticos;2014M11;102,734
Productos plásticos;2014M10;102,845
Productos plásticos;2014M09;103,017
Productos plásticos;2014M08;103,296
Productos plásticos;2014M07;103,396
Productos plásticos;2014M06;103,304
Productos plásticos;2014M05;102,904
Productos plásticos;2014M04;102,641
Productos plásticos;2014M03;101,993
Productos plásticos;2014M02;102,59
Productos plásticos;2014M01;102,289
Productos plásticos;2013M12;102,508
Productos plásticos;2013M11;102,316
Productos plásticos;2013M10;102,121
Productos plásticos;2013M09;102,095
Productos plásticos;2013M08;101,851
Productos plásticos;2013M07;102,072
Productos plásticos;2013M06;102,187
Productos plásticos;2013M05;102,309
Productos plásticos;2013M04;102,486
Productos plásticos;2013M03;102,268
Productos plásticos;2013M02;102,279
Productos plásticos;2013M01;102,187
Productos plásticos;2012M12;101,7
Productos plásticos;2012M11;101,686
Productos plásticos;2012M10;101,67
Productos plásticos;2012M09;101,467
Productos plásticos;2012M08;101,026
Productos plásticos;2012M07;101,124
Productos plásticos;2012M06;101,418
Productos plásticos;2012M05;101,623
Productos plásticos;2012M04;101,585
Productos plásticos;2012M03;101,025
Productos plásticos;2012M02;100,689
Productos plásticos;2012M01;100,045
Productos quimicos;2023M06;131,39
Productos quimicos;2023M05;131,854
Productos quimicos;2023M04;133,113
Productos quimicos;2023M03;134,383
Productos quimicos;2023M02;135,165
Productos quimicos;2023M01;135,185
Productos quimicos;2022M12;136,522
Productos quimicos;2022M11;137,021
Productos quimicos;2022M10;136,318
Productos quimicos;2022M09;136,333
Productos quimicos;2022M08;136,104
Productos quimicos;2022M07;136,304
Productos quimicos;2022M06;134,892
Productos quimicos;2022M05;132,863
Productos quimicos;2022M04;129,108
Productos quimicos;2022M03;127,271
Productos quimicos;2022M02;124,361
Productos quimicos;2022M01;123,309
Productos quimicos;2021M12;120,719
Productos quimicos;2021M11;119,867
Productos quimicos;2021M10;114,338
Productos quimicos;2021M09;112,111
Productos quimicos;2021M08;112,189
Productos quimicos;2021M07;110,165
Productos quimicos;2021M06;108,488
Productos quimicos;2021M05;107,875
Productos quimicos;2021M04;107,15
Productos quimicos;2021M03;106,337
Productos quimicos;2021M02;105,116
Productos quimicos;2021M01;104,702
Productos quimicos;2020M12;104,28
Productos quimicos;2020M11;104,193
Productos quimicos;2020M10;104,227
Productos quimicos;2020M09;104,008
Productos quimicos;2020M08;103,838
Productos quimicos;2020M07;104,358
Productos quimicos;2020M06;104,957
Productos quimicos;2020M05;103,525
Productos quimicos;2020M04;104,037
Productos quimicos;2020M03;104,141
Productos quimicos;2020M02;105,043
Productos quimicos;2020M01;105,621
Productos quimicos;2019M12;106,34
Productos quimicos;2019M11;106,581
Productos quimicos;2019M10;106,557
Productos quimicos;2019M09;106,411
Productos quimicos;2019M08;106,5
Productos quimicos;2019M07;107,138
Productos quimicos;2019M06;106,654
Productos quimicos;2019M05;107,255
Productos quimicos;2019M04;107,445
Productos quimicos;2019M03;107,4
Productos quimicos;2019M02;106,756
Productos quimicos;2019M01;106,9
Productos quimicos;2018M12;106,496
Productos quimicos;2018M11;105,609
Productos quimicos;2018M10;106,118
Productos quimicos;2018M09;106,244
Productos quimicos;2018M08;105,632
Productos quimicos;2018M07;104,813
Productos quimicos;2018M06;105,118
Productos quimicos;2018M05;105,542
Productos quimicos;2018M04;105,1
Productos quimicos;2018M03;105,19
Productos quimicos;2018M02;104,491
Productos quimicos;2018M01;104,266
Productos quimicos;2017M12;104,051
Productos quimicos;2017M11;103,449
Productos quimicos;2017M10;103,443
Productos quimicos;2017M09;103,919
Productos quimicos;2017M08;103,896
Productos quimicos;2017M07;103,723
Productos quimicos;2017M06;103,19
Productos quimicos;2017M05;103,339
Productos quimicos;2017M04;103,448
Productos quimicos;2017M03;103,044
Productos quimicos;2017M02;103,155
Productos quimicos;2017M01;103,182
Productos quimicos;2016M12;102,656
Productos quimicos;2016M11;102,273
Productos quimicos;2016M10;102,199
Productos quimicos;2016M09;101,788
Productos quimicos;2016M08;101,963
Productos quimicos;2016M07;101,613
Productos quimicos;2016M06;102,176
Productos quimicos;2016M05;100,435
Productos quimicos;2016M04;100,942
Productos quimicos;2016M03;101,704
Productos quimicos;2016M02;100,71
Productos quimicos;2016M01;101,233
Productos quimicos;2015M12;100,676
Productos quimicos;2015M11;101,034
Productos quimicos;2015M10;101,265
Productos quimicos;2015M09;101,496
Productos quimicos;2015M08;101,356
Productos quimicos;2015M07;101,988
Productos quimicos;2015M06;101,376
Productos quimicos;2015M05;101,8
Productos quimicos;2015M04;102,117
Productos quimicos;2015M03;102,297
Productos quimicos;2015M02;102,594
Productos quimicos;2015M01;102,288
Productos quimicos;2014M12;101,939
Productos quimicos;2014M11;101,796
Productos quimicos;2014M10;102,32
Productos quimicos;2014M09;102,904
Productos quimicos;2014M08;102,056
Productos quimicos;2014M07;102,18
Productos quimicos;2014M06;102,526
Productos quimicos;2014M05;102,868
Productos quimicos;2014M04;102,655
Productos quimicos;2014M03;102,096
Productos quimicos;2014M02;101,911
Productos quimicos;2014M01;102,455
Productos quimicos;2013M12;101,803
Productos quimicos;2013M11;101,136
Productos quimicos;2013M10;102,086
Productos quimicos;2013M09;101,908
Productos quimicos;2013M08;102,146
Productos quimicos;2013M07;101,822
Productos quimicos;2013M06;102,095
Productos quimicos;2013M05;102,512
Productos quimicos;2013M04;102,568
Productos quimicos;2013M03;102,703
Productos quimicos;2013M02;102,628
Productos quimicos;2013M01;102,387
Productos quimicos;2012M12;101,266
Productos quimicos;2012M11;101,24
Productos quimicos;2012M10;101,352
Productos quimicos;2012M09;102,313
Productos quimicos;2012M08;102,374
Productos quimicos;2012M07;102,275
Productos quimicos;2012M06;101,87
Productos quimicos;2012M05;99,942
Productos quimicos;2012M04;100,067
Productos quimicos;2012M03;100,154
Productos quimicos;2012M02;99,366
Productos quimicos;2012M01;100,916
Aridos y rocas;2023M06;124,406
Aridos y rocas;2023M05;124,182
Aridos y rocas;2023M04;124,037
Aridos y rocas;2023M03;123,88
Aridos y rocas;2023M02;123,29
Aridos y rocas;2023M01;121,755
Aridos y rocas;2022M12;119,015
Aridos y rocas;2022M11;118,936
Aridos y rocas;2022M10;118,865
Aridos y rocas;2022M09;118,774
Aridos y rocas;2022M08;116,539
Aridos y rocas;2022M07;116,567
Aridos y rocas;2022M06;115,74
Aridos y rocas;2022M05;114,952
Aridos y rocas;2022M04;113,908
Aridos y rocas;2022M03;110,965
Aridos y rocas;2022M02;111,491
Aridos y rocas;2022M01;109,472
Aridos y rocas;2021M12;106,109
Aridos y rocas;2021M11;105,877
Aridos y rocas;2021M10;105,25
Aridos y rocas;2021M09;104,721
Aridos y rocas;2021M08;104,473
Aridos y rocas;2021M07;104,571
Aridos y rocas;2021M06;105,054
Aridos y rocas;2021M05;104,483
Aridos y rocas;2021M04;104,516
Aridos y rocas;2021M03;104,938
Aridos y rocas;2021M02;104,831
Aridos y rocas;2021M01;104,622
Aridos y rocas;2020M12;104,371
Aridos y rocas;2020M11;104,755
Aridos y rocas;2020M10;104,246
Aridos y rocas;2020M09;104,294
Aridos y rocas;2020M08;104,242
Aridos y rocas;2020M07;104,198
Aridos y rocas;2020M06;103,88
Aridos y rocas;2020M05;104,523
Aridos y rocas;2020M04;104,776
Aridos y rocas;2020M03;104,346
Aridos y rocas;2020M02;104,317
Aridos y rocas;2020M01;104,673
Aridos y rocas;2019M12;102,445
Aridos y rocas;2019M11;102,561
Aridos y rocas;2019M10;102,596
Aridos y rocas;2019M09;102,838
Aridos y rocas;2019M08;103,448
Aridos y rocas;2019M07;102,91
Aridos y rocas;2019M06;102,39
Aridos y rocas;2019M05;102,941
Aridos y rocas;2019M04;102,614
Aridos y rocas;2019M03;102,612
Aridos y rocas;2019M02;103,421
Aridos y rocas;2019M01;102,686
Aridos y rocas;2018M12;102,632
Aridos y rocas;2018M11;102,367
Aridos y rocas;2018M10;102,099
Aridos y rocas;2018M09;101,529
Aridos y rocas;2018M08;101,61
Aridos y rocas;2018M07;102,172
Aridos y rocas;2018M06;101,841
Aridos y rocas;2018M05;102,093
Aridos y rocas;2018M04;102,045
Aridos y rocas;2018M03;101,917
Aridos y rocas;2018M02;101,836
Aridos y rocas;2018M01;101,003
Aridos y rocas;2017M12;100,332
Aridos y rocas;2017M11;100,57
Aridos y rocas;2017M10;100,404
Aridos y rocas;2017M09;100,374
Aridos y rocas;2017M08;100,248
Aridos y rocas;2017M07;100,286
Aridos y rocas;2017M06;100,786
Aridos y rocas;2017M05;99,908
Aridos y rocas;2017M04;99,78
Aridos y rocas;2017M03;99,667
Aridos y rocas;2017M02;98,869
Aridos y rocas;2017M01;100,212
Aridos y rocas;2016M12;99,364
Aridos y rocas;2016M11;99,013
Aridos y rocas;2016M10;99,263
Aridos y rocas;2016M09;99,35
Aridos y rocas;2016M08;99,602
Aridos y rocas;2016M07;99,213
Aridos y rocas;2016M06;99,256
Aridos y rocas;2016M05;99,535
Aridos y rocas;2016M04;99,623
Aridos y rocas;2016M03;102,181
Aridos y rocas;2016M02;102,085
Aridos y rocas;2016M01;100,847
Aridos y rocas;2015M12;101,545
Aridos y rocas;2015M11;101,121
Aridos y rocas;2015M10;101,728
Aridos y rocas;2015M09;101,841
Aridos y rocas;2015M08;101,887
Aridos y rocas;2015M07;101,859
Aridos y rocas;2015M06;102,147
Aridos y rocas;2015M05;102,221
Aridos y rocas;2015M04;101,31
Aridos y rocas;2015M03;101,403
Aridos y rocas;2015M02;101,85
Aridos y rocas;2015M01;102,42
Aridos y rocas;2014M12;101,6
Aridos y rocas;2014M11;101,914
Aridos y rocas;2014M10;101,497
Aridos y rocas;2014M09;101,944
Aridos y rocas;2014M08;101,91
Aridos y rocas;2014M07;102,903
Aridos y rocas;2014M06;102,218
Aridos y rocas;2014M05;102,457
Aridos y rocas;2014M04;102,051
Aridos y rocas;2014M03;102,213
Aridos y rocas;2014M02;102,082
Aridos y rocas;2014M01;102,315
Aridos y rocas;2013M12;102,221
Aridos y rocas;2013M11;102,924
Aridos y rocas;2013M10;102,353
Aridos y rocas;2013M09;102,097
Aridos y rocas;2013M08;101,053
Aridos y rocas;2013M07;101,616
Aridos y rocas;2013M06;100,911
Aridos y rocas;2013M05;101,585
Aridos y rocas;2013M04;101,818
Aridos y rocas;2013M03;101,571
Aridos y rocas;2013M02;101,78
Aridos y rocas;2013M01;100,333
Aridos y rocas;2012M12;99,273
Aridos y rocas;2012M11;99,599
Aridos y rocas;2012M10;99,382
Aridos y rocas;2012M09;99,6
Aridos y rocas;2012M08;99,359
Aridos y rocas;2012M07;99,402
Aridos y rocas;2012M06;99,818
Aridos y rocas;2012M05;99,891
Aridos y rocas;2012M04;99,513
Aridos y rocas;2012M03;99,384
Aridos y rocas;2012M02;100,321
Aridos y rocas;2012M01;99,763
Materiales siderúrgicos;2023M06;136,775
Materiales siderúrgicos;2023M05;138,918
Materiales siderúrgicos;2023M04;140,51
Materiales siderúrgicos;2023M03;144,306
Materiales siderúrgicos;2023M02;142,262
Materiales siderúrgicos;2023M01;144,562
Materiales siderúrgicos;2022M12;146,047
Materiales siderúrgicos;2022M11;150,449
Materiales siderúrgicos;2022M10;157,204
Materiales siderúrgicos;2022M09;159,945
Materiales siderúrgicos;2022M08;158,013
Materiales siderúrgicos;2022M07;160,528
Materiales siderúrgicos;2022M06;171,302
Materiales siderúrgicos;2022M05;180,533
Materiales siderúrgicos;2022M04;174,557
Materiales siderúrgicos;2022M03;158,279
Materiales siderúrgicos;2022M02;147,922
Materiales siderúrgicos;2022M01;145,223
Materiales siderúrgicos;2021M12;140,331
Materiales siderúrgicos;2021M11;138,544
Materiales siderúrgicos;2021M10;137,994
Materiales siderúrgicos;2021M09;137,78
Materiales siderúrgicos;2021M08;134,906
Materiales siderúrgicos;2021M07;132,739
Materiales siderúrgicos;2021M06;123,879
Materiales siderúrgicos;2021M05;116,624
Materiales siderúrgicos;2021M04;110,033
Materiales siderúrgicos;2021M03;108,389
Materiales siderúrgicos;2021M02;106,568
Materiales siderúrgicos;2021M01;102,104
Materiales siderúrgicos;2020M12;94,834
Materiales siderúrgicos;2020M11;91,961
Materiales siderúrgicos;2020M10;91,939
Materiales siderúrgicos;2020M09;90,574
Materiales siderúrgicos;2020M08;90,349
Materiales siderúrgicos;2020M07;90,048
Materiales siderúrgicos;2020M06;90,44
Materiales siderúrgicos;2020M05;91,392
Materiales siderúrgicos;2020M04;93,095
Materiales siderúrgicos;2020M03;93,926
Materiales siderúrgicos;2020M02;94,134
Materiales siderúrgicos;2020M01;94,415
Materiales siderúrgicos;2019M12;92,487
Materiales siderúrgicos;2019M11;92,461
Materiales siderúrgicos;2019M10;94,518
Materiales siderúrgicos;2019M09;96,063
Materiales siderúrgicos;2019M08;97,288
Materiales siderúrgicos;2019M07;97,624
Materiales siderúrgicos;2019M06;98,823
Materiales siderúrgicos;2019M05;99,344
Materiales siderúrgicos;2019M04;100,247
Materiales siderúrgicos;2019M03;100,251
Materiales siderúrgicos;2019M02;100,015
Materiales siderúrgicos;2019M01;101,03
Materiales siderúrgicos;2018M12;100,693
Materiales siderúrgicos;2018M11;101,566
Materiales siderúrgicos;2018M10;102,571
Materiales siderúrgicos;2018M09;101,805
Materiales siderúrgicos;2018M08;101,723
Materiales siderúrgicos;2018M07;101,547
Materiales siderúrgicos;2018M06;101,078
Materiales siderúrgicos;2018M05;101,413
Materiales siderúrgicos;2018M04;102,432
Materiales siderúrgicos;2018M03;102,864
Materiales siderúrgicos;2018M02;102,585
Materiales siderúrgicos;2018M01;101,547
Materiales siderúrgicos;2017M12;99,847
Materiales siderúrgicos;2017M11;98,765
Materiales siderúrgicos;2017M10;97,87
Materiales siderúrgicos;2017M09;96,729
Materiales siderúrgicos;2017M08;94,056
Materiales siderúrgicos;2017M07;93,144
Materiales siderúrgicos;2017M06;92,963
Materiales siderúrgicos;2017M05;93,248
Materiales siderúrgicos;2017M04;94,342
Materiales siderúrgicos;2017M03;93,911
Materiales siderúrgicos;2017M02;93,116
Materiales siderúrgicos;2017M01;92,858
Materiales siderúrgicos;2016M12;88,804
Materiales siderúrgicos;2016M11;86,025
Materiales siderúrgicos;2016M10;85,091
Materiales siderúrgicos;2016M09;86,084
Materiales siderúrgicos;2016M08;85,777
Materiales siderúrgicos;2016M07;87,95
Materiales siderúrgicos;2016M06;86,616
Materiales siderúrgicos;2016M05;85,498
Materiales siderúrgicos;2016M04;80,145
Materiales siderúrgicos;2016M03;76,461
Materiales siderúrgicos;2016M02;77,557
Materiales siderúrgicos;2016M01;78,112
Materiales siderúrgicos;2015M12;78,288
Materiales siderúrgicos;2015M11;78,287
Materiales siderúrgicos;2015M10;81,55
Materiales siderúrgicos;2015M09;83,908
Materiales siderúrgicos;2015M08;85,85
Materiales siderúrgicos;2015M07;87,077
Materiales siderúrgicos;2015M06;87,076
Materiales siderúrgicos;2015M05;86,556
Materiales siderúrgicos;2015M04;87,84
Materiales siderúrgicos;2015M03;87,336
Materiales siderúrgicos;2015M02;87,489
Materiales siderúrgicos;2015M01;87,602
Materiales siderúrgicos;2014M12;87,696
Materiales siderúrgicos;2014M11;89,009
Materiales siderúrgicos;2014M10;89,986
Materiales siderúrgicos;2014M09;89,339
Materiales siderúrgicos;2014M08;89,126
Materiales siderúrgicos;2014M07;89,77
Materiales siderúrgicos;2014M06;89,652
Materiales siderúrgicos;2014M05;90,126
Materiales siderúrgicos;2014M04;90,46
Materiales siderúrgicos;2014M03;90,634
Materiales siderúrgicos;2014M02;90,822
Materiales siderúrgicos;2014M01;90,964
Materiales siderúrgicos;2013M12;90,813
Materiales siderúrgicos;2013M11;91,521
Materiales siderúrgicos;2013M10;91,946
Materiales siderúrgicos;2013M09;91,057
Materiales siderúrgicos;2013M08;91,137
Materiales siderúrgicos;2013M07;91,054
Materiales siderúrgicos;2013M06;92,032
Materiales siderúrgicos;2013M05;94,48
Materiales siderúrgicos;2013M04;93,557
Materiales siderúrgicos;2013M03;94,419
Materiales siderúrgicos;2013M02;95,563
Materiales siderúrgicos;2013M01;95,052
Materiales siderúrgicos;2012M12;95,062
Materiales siderúrgicos;2012M11;94,477
Materiales siderúrgicos;2012M10;94,825
Materiales siderúrgicos;2012M09;96,14
Materiales siderúrgicos;2012M08;96,506
Materiales siderúrgicos;2012M07;98,248
Materiales siderúrgicos;2012M06;98,676
Materiales siderúrgicos;2012M05;99,742
Materiales siderúrgicos;2012M04;100,228
Materiales siderúrgicos;2012M03;100,453
Materiales siderúrgicos;2012M02;100,468
Materiales siderúrgicos;2012M01;99,741
Materiales electrónicos;2023M06;119,525
Materiales electrónicos;2023M05;119,742
Materiales electrónicos;2023M04;120,038
Materiales electrónicos;2023M03;119,967
Materiales electrónicos;2023M02;119,747
Materiales electrónicos;2023M01;118,952
Materiales electrónicos;2022M12;118,256
Materiales electrónicos;2022M11;118,019
Materiales electrónicos;2022M10;117,402
Materiales electrónicos;2022M09;117,54
Materiales electrónicos;2022M08;117,488
Materiales electrónicos;2022M07;117,172
Materiales electrónicos;2022M06;116,562
Materiales electrónicos;2022M05;115,825
Materiales electrónicos;2022M04;114,889
Materiales electrónicos;2022M03;114,23
Materiales electrónicos;2022M02;113,485
Materiales electrónicos;2022M01;110,961
Materiales electrónicos;2021M12;109,502
Materiales electrónicos;2021M11;109,646
Materiales electrónicos;2021M10;109,687
Materiales electrónicos;2021M09;109,361
Materiales electrónicos;2021M08;107,787
Materiales electrónicos;2021M07;107,738
Materiales electrónicos;2021M06;107,173
Materiales electrónicos;2021M05;105,052
Materiales electrónicos;2021M04;105,227
Materiales electrónicos;2021M03;105,386
Materiales electrónicos;2021M02;105,793
Materiales electrónicos;2021M01;105,329
Materiales electrónicos;2020M12;104,846
Materiales electrónicos;2020M11;104,631
Materiales electrónicos;2020M10;105,331
Materiales electrónicos;2020M09;105,54
Materiales electrónicos;2020M08;105,589
Materiales electrónicos;2020M07;106,28
Materiales electrónicos;2020M06;105,386
Materiales electrónicos;2020M05;106,138
Materiales electrónicos;2020M04;106,004
Materiales electrónicos;2020M03;105,69
Materiales electrónicos;2020M02;105,612
Materiales electrónicos;2020M01;105,435
Materiales electrónicos;2019M12;104,273
Materiales electrónicos;2019M11;104,578
Materiales electrónicos;2019M10;104,788
Materiales electrónicos;2019M09;104,546
Materiales electrónicos;2019M08;104,933
Materiales electrónicos;2019M07;104,459
Materiales electrónicos;2019M06;104,662
Materiales electrónicos;2019M05;104,909
Materiales electrónicos;2019M04;104,877
Materiales electrónicos;2019M03;104,775
Materiales electrónicos;2019M02;104,284
Materiales electrónicos;2019M01;103,477
Materiales electrónicos;2018M12;103,23
Materiales electrónicos;2018M11;103,533
Materiales electrónicos;2018M10;102,655
Materiales electrónicos;2018M09;103,062
Materiales electrónicos;2018M08;103,404
Materiales electrónicos;2018M07;102,381
Materiales electrónicos;2018M06;102,685
Materiales electrónicos;2018M05;102,15
Materiales electrónicos;2018M04;101,985
Materiales electrónicos;2018M03;101,735
Materiales electrónicos;2018M02;102,036
Materiales electrónicos;2018M01;102,172
Materiales electrónicos;2017M12;102,443
Materiales electrónicos;2017M11;102,33
Materiales electrónicos;2017M10;102,304
Materiales electrónicos;2017M09;102,06
Materiales electrónicos;2017M08;102,123
Materiales electrónicos;2017M07;101,972
Materiales electrónicos;2017M06;101,952
Materiales electrónicos;2017M05;101,622
Materiales electrónicos;2017M04;101,091
Materiales electrónicos;2017M03;101,329
Materiales electrónicos;2017M02;101,017
Materiales electrónicos;2017M01;100,71
Materiales electrónicos;2016M12;100,547
Materiales electrónicos;2016M11;100,466
Materiales electrónicos;2016M10;100,583
Materiales electrónicos;2016M09;100,631
Materiales electrónicos;2016M08;101,013
Materiales electrónicos;2016M07;101,159
Materiales electrónicos;2016M06;101,402
Materiales electrónicos;2016M05;100,936
Materiales electrónicos;2016M04;101,258
Materiales electrónicos;2016M03;101,543
Materiales electrónicos;2016M02;101,817
Materiales electrónicos;2016M01;102,129
Materiales electrónicos;2015M12;101,315
Materiales electrónicos;2015M11;101,948
Materiales electrónicos;2015M10;101,511
Materiales electrónicos;2015M09;100,905
Materiales electrónicos;2015M08;101,206
Materiales electrónicos;2015M07;101,107
Materiales electrónicos;2015M06;101,544
Materiales electrónicos;2015M05;101,067
Materiales electrónicos;2015M04;101,396
Materiales electrónicos;2015M03;101,344
Materiales electrónicos;2015M02;101,568
Materiales electrónicos;2015M01;101,601
Materiales electrónicos;2014M12;101,415
Materiales electrónicos;2014M11;101,318
Materiales electrónicos;2014M10;101,414
Materiales electrónicos;2014M09;101,347
Materiales electrónicos;2014M08;101,315
Materiales electrónicos;2014M07;101,356
Materiales electrónicos;2014M06;101,202
Materiales electrónicos;2014M05;101,045
Materiales electrónicos;2014M04;101,118
Materiales electrónicos;2014M03;100,932
Materiales electrónicos;2014M02;100,378
Materiales electrónicos;2014M01;101,077
Materiales electrónicos;2013M12;101,313
Materiales electrónicos;2013M11;101,077
Materiales electrónicos;2013M10;100,875
Materiales electrónicos;2013M09;101,037
Materiales electrónicos;2013M08;101,03
Materiales electrónicos;2013M07;101,169
Materiales electrónicos;2013M06;101,7
Materiales electrónicos;2013M05;101,442
Materiales electrónicos;2013M04;101,966
Materiales electrónicos;2013M03;101,818
Materiales electrónicos;2013M02;101,314
Materiales electrónicos;2013M01;101,901
Materiales electrónicos;2012M12;100,905
Materiales electrónicos;2012M11;101,024
Materiales electrónicos;2012M10;100,974
Materiales electrónicos;2012M09;100,96
Materiales electrónicos;2012M08;100,955
Materiales electrónicos;2012M07;101,034
Materiales electrónicos;2012M06;101,163
Materiales electrónicos;2012M05;101,152
Materiales electrónicos;2012M04;101,042
Materiales electrónicos;2012M03;100,904
Materiales electrónicos;2012M02;100,789
Materiales electrónicos;2012M01;100,677
Cobre;2023M06;128,544
Cobre;2023M05;125,312
Cobre;2023M04;132,993
Cobre;2023M03;134,865
Cobre;2023M02;139,622
Cobre;2023M01;144,463
Cobre;2022M12;129,571
Cobre;2022M11;131,691
Cobre;2022M10;128,279
Cobre;2022M09;128,691
Cobre;2022M08;128,14
Cobre;2022M07;119,679
Cobre;2022M06;141,872
Cobre;2022M05;145,071
Cobre;2022M04;155,235
Cobre;2022M03;150,924
Cobre;2022M02;144,796
Cobre;2022M01;140,314
Cobre;2021M12;141,139
Cobre;2021M11;141,056
Cobre;2021M10;140,605
Cobre;2021M09;129,872
Cobre;2021M08;130,876
Cobre;2021M07;131,116
Cobre;2021M06;129,753
Cobre;2021M05;138,834
Cobre;2021M04;130,128
Cobre;2021M03;124,598
Cobre;2021M02;117,473
Cobre;2021M01;109,529
Cobre;2020M12;106,343
Cobre;2020M11;99,975
Cobre;2020M10;96,726
Cobre;2020M09;96,141
Cobre;2020M08;93,221
Cobre;2020M07;94,197
Cobre;2020M06;89,924
Cobre;2020M05;85,114
Cobre;2020M04;84,262
Cobre;2020M03;82,249
Cobre;2020M02;90,795
Cobre;2020M01;93,893
Cobre;2019M12;96,617
Cobre;2019M11;93,653
Cobre;2019M10;91,967
Cobre;2019M09;93,719
Cobre;2019M08;89,064
Cobre;2019M07;93,886
Cobre;2019M06;93,354
Cobre;2019M05;94,396
Cobre;2019M04;100,256
Cobre;2019M03;100,59
Cobre;2019M02;98,622
Cobre;2019M01;92,964
Cobre;2018M12;94,385
Cobre;2018M11;97,24
Cobre;2018M10;95,147
Cobre;2018M09;91,464
Cobre;2018M08;91,844
Cobre;2018M07;96,152
Cobre;2018M06;104,62
Cobre;2018M05;100,93
Cobre;2018M04;98,087
Cobre;2018M03;96,611
Cobre;2018M02;99,844
Cobre;2018M01;100,521
Cobre;2017M12;102,378
Cobre;2017M11;95,586
Cobre;2017M10;104,977
Cobre;2017M09;96,253
Cobre;2017M08;96,615
Cobre;2017M07;95,549
Cobre;2017M06;91,774
Cobre;2017M05;94,312
Cobre;2017M04;94,747
Cobre;2017M03;97,465
Cobre;2017M02;96,245
Cobre;2017M01;95,037
Cobre;2016M12;92,135
Cobre;2016M11;93,071
Cobre;2016M10;78,493
Cobre;2016M09;77,472
Cobre;2016M08;79,091
Cobre;2016M07;82,214
Cobre;2016M06;77,674
Cobre;2016M05;77,16
Cobre;2016M04;78,804
Cobre;2016M03;80,915
Cobre;2016M02;76,231
Cobre;2016M01;76,721
Cobre;2015M12;79,395
Cobre;2015M11;83,358
Cobre;2015M10;85,647
Cobre;2015M09;85,349
Cobre;2015M08;84,609
Cobre;2015M07;91,037
Cobre;2015M06;95,386
Cobre;2015M05;101,244
Cobre;2015M04;100,87
Cobre;2015M03;98,416
Cobre;2015M02;92,765
Cobre;2015M01;91,916
Cobre;2014M12;95,312
Cobre;2014M11;97,853
Cobre;2014M10;96,466
Cobre;2014M09;97,126
Cobre;2014M08;95,432
Cobre;2014M07;94,892
Cobre;2014M06;91,627
Cobre;2014M05;91,929
Cobre;2014M04;88,557
Cobre;2014M03;88,655
Cobre;2014M02;95,159
Cobre;2014M01;96,777
Cobre;2013M12;98,637
Cobre;2013M11;94,313
Cobre;2013M10;95,57
Cobre;2013M09;96,681
Cobre;2013M08;97,29
Cobre;2013M07;96,058
Cobre;2013M06;96,406
Cobre;2013M05;101,424
Cobre;2013M04;103,228
Cobre;2013M03;107,743
Cobre;2013M02;108,887
Cobre;2013M01;109,476
Cobre;2012M12;108,132
Cobre;2012M11;106,403
Cobre;2012M10;106,463
Cobre;2012M09;104,634
Cobre;2012M08;103,22
Cobre;2012M07;105,153
Cobre;2012M06;102,274
Cobre;2012M05;104,962
Cobre;2012M04;103,275
Cobre;2012M03;108,723
Cobre;2012M02;106,663
Cobre;2012M01;105,908
Vidrio;2023M06;145,974
Vidrio;2023M05;145,797
Vidrio;2023M04;144,349
Vidrio;2023M03;144,972
Vidrio;2023M02;143,528
Vidrio;2023M01;142,583
Vidrio;2022M12;139,22
Vidrio;2022M11;139,01
Vidrio;2022M10;140,427
Vidrio;2022M09;137,038
Vidrio;2022M08;134,155
Vidrio;2022M07;133,061
Vidrio;2022M06;133,001
Vidrio;2022M05;132,881
Vidrio;2022M04;134,114
Vidrio;2022M03;127,141
