"Año";"Periodo";"Compraventa nueva";"Compraventa usadas";"Total compraventa";"Precio m2";"Hipotecas";"Índice precio";"Deuda familias"
"2023";"Diciembre";"-11,87";"-16,44";"-15,62";"5,83";"-17,11";"";""
"2024";"Enero";"3,58";"-3,4";"-2,07";"4,86";"-11,13";"";""
"2024";"Febrero";"20,83";"2,21";"5,77";"4,24";"3,71";"";""
"2017";"Trimestre 1";"";"";"";"";"";"5,32";""
"2017";"Trimestre 2";"";"";"";"";"";"5,55";""
"2017";"Trimestre 3";"";"";"";"";"";"6,65";""
"2017";"Trimestre 4";"";"";"";"";"";"7,19";""
"2018";"Trimestre 1";"";"";"";"";"";"6,24";""
"2018";"Trimestre 2";"";"";"";"";"";"6,82";""
"2018";"Trimestre 3";"";"";"";"";"";"7,16";""
"2018";"Trimestre 4";"";"";"";"";"";"6,61";""
"2019";"Trimestre 1";"";"";"";"";"";"6,75";""
"2019";"Trimestre 2";"";"";"";"";"";"5,29";""
"2019";"Trimestre 3";"";"";"";"";"";"4,68";""
"2019";"Trimestre 4";"";"";"";"";"";"3,61";""
"2020";"Trimestre 1";"";"";"";"";"";"3,21";""
"2020";"Trimestre 2";"";"";"";"";"";"2,11";""
"2020";"Trimestre 3";"";"";"";"";"";"1,68";""
"2020";"Trimestre 4";"";"";"";"";"";"1,48";""
"2021";"Trimestre 1";"";"";"";"";"";"0,9";""
"2021";"Trimestre 2";"";"";"";"";"";"3,26";""
"2021";"Trimestre 3";"";"";"";"";"";"4,21";""
"2021";"Trimestre 4";"";"";"";"";"";"6,38";""
"2022";"Trimestre 1";"";"";"";"";"";"8,54";""
"2022";"Trimestre 2";"";"";"";"";"";"8,02";""
"2022";"Trimestre 3";"";"";"";"";"";"7,64";""
"2022";"Trimestre 4";"";"";"";"";"";"5,45";""
"2023";"Trimestre 1";"";"";"";"";"";"3,49";""
"2023";"Trimestre 2";"";"";"";"";"";"3,64";""
"2023";"Trimestre 3";"";"";"";"";"";"4,46";""
"2023";"Trimestre 4";"";"";"";"";"";"4,22";""
;;;;;;;;
;;;;;;;;
"Métrica":"Compraventa nueva"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viviendas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Compraventa usadas"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viviendas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Total compraventa"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viviendas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Precio m2"
"Fuente":"Consejo General del Notariado"
"Clasificación":""
"Unidad":"Euros / metro cuadrado"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Hipotecas"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de hipotecas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Índice precio"
"Fuente":"INE"
"Clasificación":"Base 2015"
"Unidad":"Índice de Precios"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Métrica":"Deuda familias"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;;;;;
;;;;;;;;
"Url":"https://www.epdata.es/indicadores-mercado-inmobiliario/99110442-3f47-4bd8-add5-0405dc457ace"
"Titulo":"Indicadores del mercado inmobiliario"
"Subtitulo":"Variación interanual"
