#;A&ntilde;o;Trimestre;Grupo;Acto;Cuantía promedio (&euro;)
43;2021;Cuarto;Grupo 05 - Contratos traslativos sobre todo tipo de bienes y derechos;501 - Compraventa inmuebles;"166,922.84"
44;2022;Primero;Grupo 05 - Contratos traslativos sobre todo tipo de bienes y derechos;501 - Compraventa inmuebles;"161,899.62"
45;2022;Segundo;Grupo 05 - Contratos traslativos sobre todo tipo de bienes y derechos;501 - Compraventa inmuebles;"171,745.77"
46;2022;Tercero;Grupo 05 - Contratos traslativos sobre todo tipo de bienes y derechos;501 - Compraventa inmuebles;"171,313.31"
47;2022;Cuarto;Grupo 05 - Contratos traslativos sobre todo tipo de bienes y derechos;501 - Compraventa inmuebles;"168,138.43"
48;2023;Primero;Grupo 05 - Contratos traslativos sobre todo tipo de bienes y derechos;501 - Compraventa inmuebles;"155,708.90"
49;2023;Segundo;Grupo 05 - Contratos traslativos sobre todo tipo de bienes y derechos;501 - Compraventa inmuebles;"159,620.27"
50;2023;Tercero;Grupo 05 - Contratos traslativos sobre todo tipo de bienes y derechos;501 - Compraventa inmuebles;"163,721.26"
51;2023;Cuarto*;Grupo 05 - Contratos traslativos sobre todo tipo de bienes y derechos;501 - Compraventa inmuebles;"157,783.92"
Los resultados mostrados y marcados con &quot;*&quot; provienen de extrapolaciones realizadas sobre datos parciales.
